label,mask_count,percentage_of_all_masks,mean_confidence,median_confidence,min_confidence,max_confidence,mean_area_percentage,median_area_percentage,min_area_percentage,max_area_percentage
cup lamp,2,0.06207324643078833,0.31654737889766693,0.31654737889766693,0.3113212287425995,0.3217735290527344,0.2262203293131128,0.2262203293131128,0.22555692658785442,0.22688373203837123
chair sofa rug,2,0.06207324643078833,0.3623519837856293,0.3623519837856293,0.3356831669807434,0.38902080059051514,8.446775199352519,8.446775199352519,7.700778834799453,9.192771563905584
monitor mirror,1,0.031036623215394164,0.35076719522476196,0.35076719522476196,0.35076719522476196,0.35076719522476196,0.3157796972229962,0.3157796972229962,0.3157796972229962,0.3157796972229962
window mirror frame,1,0.031036623215394164,0.3127063810825348,0.3127063810825348,0.3127063810825348,0.3127063810825348,0.32175032175032175,0.32175032175032175,0.32175032175032175,0.32175032175032175
shelf cabinet bookshel,1,0.031036623215394164,0.3133966028690338,0.3133966028690338,0.3133966028690338,0.3133966028690338,0.4484602422746753,0.4484602422746753,0.4484602422746753,0.4484602422746753
mirror fireplace,1,0.031036623215394164,0.30383267998695374,0.30383267998695374,0.30383267998695374,0.30383267998695374,5.110191192665419,5.110191192665419,5.110191192665419,5.110191192665419
bed rug,1,0.031036623215394164,0.39594194293022156,0.39594194293022156,0.39594194293022156,0.39594194293022156,6.249917074659343,6.249917074659343,6.249917074659343,6.249917074659343
chair bed,1,0.031036623215394164,0.3187218904495239,0.3187218904495239,0.3187218904495239,0.3187218904495239,0.16850429221563243,0.16850429221563243,0.16850429221563243,0.16850429221563243
chair rug pillow,1,0.031036623215394164,0.32735270261764526,0.32735270261764526,0.32735270261764526,0.32735270261764526,17.94305351006382,17.94305351006382,17.94305351006382,17.94305351006382
sofahelf,1,0.031036623215394164,0.33016619086265564,0.33016619086265564,0.33016619086265564,0.33016619086265564,1.2929719115286125,1.2929719115286125,1.2929719115286125,1.2929719115286125
window frame,1,0.031036623215394164,0.3139437735080719,0.3139437735080719,0.3139437735080719,0.3139437735080719,4.003635446934416,4.003635446934416,4.003635446934416,4.003635446934416
chair rug,1,0.031036623215394164,0.3088148236274719,0.3088148236274719,0.3088148236274719,0.3088148236274719,11.4184877071475,11.4184877071475,11.4184877071475,11.4184877071475
monitor window picture frame,1,0.031036623215394164,0.3407171070575714,0.3407171070575714,0.3407171070575714,0.3407171070575714,0.1446217941063302,0.1446217941063302,0.1446217941063302,0.1446217941063302
chair desk,1,0.031036623215394164,0.39359602332115173,0.39359602332115173,0.39359602332115173,0.39359602332115173,0.1015006169645345,0.1015006169645345,0.1015006169645345,0.1015006169645345
monitor,1,0.031036623215394164,0.3124336004257202,0.3124336004257202,0.3124336004257202,0.3124336004257202,0.7642399394976714,0.7642399394976714,0.7642399394976714,0.7642399394976714
bookshelf,1,0.031036623215394164,0.33354640007019043,0.33354640007019043,0.33354640007019043,0.33354640007019043,0.2766389364327509,0.2766389364327509,0.2766389364327509,0.2766389364327509
chair table desk,1,0.031036623215394164,0.417365163564682,0.417365163564682,0.417365163564682,0.417365163564682,0.18906977669864267,0.18906977669864267,0.18906977669864267,0.18906977669864267
wall curtain,1,0.031036623215394164,0.318175733089447,0.318175733089447,0.318175733089447,0.318175733089447,21.724449044036675,21.724449044036675,21.724449044036675,21.724449044036675
shelf cabinet wardrobehel,1,0.031036623215394164,0.3163136839866638,0.3163136839866638,0.3163136839866638,0.3163136839866638,4.446788467407024,4.446788467407024,4.446788467407024,4.446788467407024
wardrobe bookshel,1,0.031036623215394164,0.3422350287437439,0.3422350287437439,0.3422350287437439,0.3422350287437439,8.975175470020831,8.975175470020831,8.975175470020831,8.975175470020831
